company_name,business_name,tax_id,email,phone,website,industry,company_address,company_city,company_state,company_postal_code,company_country,peppol_scheme,currency,relationship_type,customer_number,supplier_number,payment_terms,credit_limit,preferred_payment_method,bank_account_number,bank_routing_number,bank_name,credit_rating,storecove_receiver_identifier,storecove_sender_identifier
"Acme Corp","Acme Corporation Inc","123456789","info@acme.com","+1-555-0123","https://acme.com","Technology","123 Business St","New York","NY","10001","US","0106","USD","customer","CUST001","",30,50000,"","","","","","",""
"Tech Solutions","Tech Solutions LLC","987654321","contact@techsolutions.com","+1-555-0456","https://techsolutions.com","Software","456 Tech Ave","San Francisco","CA","94102","US","0106","USD","supplier","","SUPP001",30,,"Bank Transfer","1234567890","987654321","Tech Bank","excellent","",""
"Global Manufacturing","Global Manufacturing Co","456789123","orders@globalmfg.com","+1-555-0789","https://globalmfg.com","Manufacturing","789 Industrial Blvd","Chicago","IL","60601","US","0106","USD","supplier","","SUPP002",45,,"Wire Transfer","2345678901","876543210","Manufacturing Bank","good","",""
"Retail Plus","Retail Plus Enterprises","789123456","sales@retailplus.com","+1-555-0321","https://retailplus.com","Retail","321 Commerce Dr","Miami","FL","33101","US","0106","USD","customer","CUST002","",15,25000,"","","","","","",""
"Healthcare Systems","Healthcare Systems Inc","321654987","admin@healthcare.com","+1-555-0654","https://healthcare.com","Healthcare","654 Medical Center Way","Boston","MA","02101","US","0106","USD","customer","CUST003","",60,75000,"","","","","","",""
"Financial Services Pro","Financial Services Pro Ltd","654987321","contact@finpro.com","+1-555-0987","https://finpro.com","Financial Services","987 Wall Street","New York","NY","10005","US","0106","USD","supplier","","SUPP003",30,,"ACH Transfer","3456789012","765432109","Financial Bank","excellent","",""
"Construction Dynamics","Construction Dynamics LLC","987321654","info@constdyn.com","+1-555-0321","https://constdyn.com","Construction","321 Builder Ave","Houston","TX","77001","US","0106","USD","customer","CUST004","",45,100000,"","","","","","",""
"Marketing Experts","Marketing Experts Group","321987654","hello@marketing.com","+1-555-0654","https://marketing.com","Marketing","654 Creative St","Los Angeles","CA","90001","US","0106","USD","supplier","","SUPP004",30,,"Credit Card","4567890123","654321098","Creative Bank","good","",""
"Legal Associates","Legal Associates PC","654321987","contact@legal.com","+1-555-0987","https://legal.com","Legal Services","987 Justice Blvd","Washington","DC","20001","US","0106","USD","customer","CUST005","",90,150000,"","","","","","",""
"Transport Solutions","Transport Solutions Inc","987654321","dispatch@transport.com","+1-555-0123","https://transport.com","Transportation","123 Logistics Way","Seattle","WA","98101","US","0106","USD","supplier","","SUPP005",30,,"Bank Transfer","5678901234","543210987","Transport Bank","excellent","",""
